nome,local,pasta,tamanho,extensao
Introdução a Tecnologia da Informação e Comunicação_BACKUP_ORIGINAL.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Introdução a Tecnologia da Informação e Comunicação_BACKUP_ORIGINAL.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO,104147277,.pptx
Introdução a Tecnologia da Informação e Comunicação.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Introdução a Tecnologia da Informação e Comunicação.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO,102956084,.pptx
Excel.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Excel.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO,31399012,.pptx
MODELO_LAYOUT_APRESENTACAO.pptx,sistema/FICHA-PRODUTO-MAIS-TECH/MODELO_LAYOUT_APRESENTACAO.pptx,sistema/FICHA-PRODUTO-MAIS-TECH,26422546,.pptx
modelo-slide-senai-2026.pptx,sistema/GERADOR-AULAS/modelo-slide-senai-2026.pptx,sistema/GERADOR-AULAS,19250539,.pptx
modelo-slide-senai-2026.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/modelo-slide-senai-2026.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,19250539,.pptx
modelo-slide-senai-2026.pptx,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/AULAS/modelo-slide-senai-2026.pptx,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/AULAS,19250539,.pptx
Primeiro dia de aula_apresentacao.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026/Primeiro dia de aula_apresentacao.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026,9649834,.pptx
graph.json,graphify-out/graph.json,graphify-out,6871180,.json
graph.json,graphify-out/2026-09-04/graph.json,graphify-out/2026-09-04,6314773,.json
APOSTILA-CEPLAS-VESPERTINO-2026-02.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/CEPLAS-VESPERTINO-2026-02/APOSTILA-CEPLAS-VESPERTINO-2026-02.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/CEPLAS-VESPERTINO-2026-02,4560579,.pdf
Apostila Banco Dados.pdf,sistema/BANCO_DE_DADOS/Apostila Banco Dados.pdf,sistema/BANCO_DE_DADOS,3941632,.pdf
PEI - Caio Matheus Junglos Cabral.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/ACOMPANHAMENTOS_PEDAGOGICOS/PEI - Caio Matheus Junglos Cabral.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/ACOMPANHAMENTOS_PEDAGOGICOS,3230261,.docx
PEI - Jhiogo Hennyck Pereira Custodio.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/ACOMPANHAMENTOS_PEDAGOGICOS/PEI - Jhiogo Hennyck Pereira Custodio.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/ACOMPANHAMENTOS_PEDAGOGICOS,3138172,.docx
PROMPT - Rubricas Capacidades Socioemocionais.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES/PROMPT - Rubricas Capacidades Socioemocionais.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES,2868035,.docx
PROMPT - Rubricas Capacidades Socioemocionais.docx,sistema/PROFESSOR/TEMPLATES-PROVA-PRATICA-OBJETIVA/PROMPT - Rubricas Capacidades Socioemocionais.docx,sistema/PROFESSOR/TEMPLATES-PROVA-PRATICA-OBJETIVA,2868035,.docx
AULA-04-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-04-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816149,.pptx
AULA-03-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-03-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816144,.pptx
AULA-08-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-08-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816133,.pptx
AULA-05-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-05-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816116,.pptx
AULA-09-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-09-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816114,.pptx
AULA-11-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-11-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816104,.pptx
AULA-06-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-06-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816103,.pptx
AULA-13-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-13-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816098,.pptx
