nome,local,nivel,tamanho_total,tamanho_proprio,qtd_arquivos_total,qtd_arquivos_direta
sistema,sistema,1,518950818,3217842,777,18
INTRODUCAO_TIC-PRESIDENTE-GETULIO,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO,2,286517396,1919521,183,7
Introdução a TIC-VICTOR-ANATO,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO,3,240848811,238893126,23,7
FICHA-PRODUTO-MAIS-TECH,sistema/FICHA-PRODUTO-MAIS-TECH,2,97030821,29648655,242,11
GESTAO_E_CONTROLE_MATERIAIS,sistema/GESTAO_E_CONTROLE_MATERIAIS,2,67194782,1635065,42,2
ANALISE_DADOS_APLICADA_GESTAO,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO,3,65559717,67286,40,5
AULAS,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,4,65492431,64381118,35,34
FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO,3,50708215,114658,106,6
PLANO-3-AULAS,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,4,44112049,11864872,76,12
VERSAO-CODEX,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX,5,31168845,3079,39,1
TECNICO-INFORMATICA-INTERNET,sistema/TECNICO-INFORMATICA-INTERNET,2,26447786,693969,63,4
AULAS,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS,3,24010854,366268,70,2
graphify-out,graphify-out,1,22549537,7499069,564,4
TESTES DE FRONTEND,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND,3,22528901,81344,37,5
AULAS,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/AULAS,4,22392227,22392227,22,22
