Produto,Armazenamento_m2,Ponto_Pedido_un,Frete_R$,Giro_dias,Perdas_%,Mês
Notebook,120,50,2500,15,2.1,Janeiro
Tablet,85,40,1800,12,1.8,Janeiro
Smartphone,95,60,2200,18,2.5,Janeiro
Monitor,150,30,3000,20,1.2,Janeiro
Teclado,60,100,800,8,0.9,Janeiro
Notebook,125,50,2600,14,2.3,Fevereiro
Tablet,90,40,1900,11,2.0,Fevereiro
Smartphone,98,60,2300,17,2.7,Fevereiro
Monitor,155,30,3100,19,1.4,Fevereiro
Teclado,62,100,850,9,1.1,Fevereiro
Notebook,118,50,2400,16,2.0,Março
Tablet,82,40,1700,13,1.6,Março
Smartphone,92,60,2100,19,2.3,Março
Monitor,148,30,2900,21,1.0,Março
Teclado,58,100,750,7,0.8,Março
Notebook,122,50,2550,15,2.2,Abril
Tablet,87,40,1850,12,1.9,Abril
Smartphone,96,60,2250,18,2.6,Abril
Monitor,152,30,3050,20,1.3,Abril
Teclado,61,100,820,8,1.0,Abril
